order	time	location	type	details	lng	lat
1	0:08	43 Southwark Park Road, SE16, London, UK	IB	Grocers: 3x2 roof damaged	-0.068463	51.494531
2	0:10	49 Southwark Park road, Bermondsey, SE16, London, UK	IB	Bakers: 3x2 roof damaged	-0.058463	51.494532
3	0:15	84 Southwark Park Road, SE16, London, UK	IB	front room on 1st floor and contents slightly damaged. 3x2 rood damage	-0.070968	51.492602
4	0:18	141 Braidwood Road, Catford SE6, London, UK	IB	10x6 roof damage	-0.002741	51.440853
5	0:20	129 Killearn Road, Catford SE6, London, UK	IB	Front room on 1st floor severely damaged	-0.0035	51.441511
6	0:20	27 Crutchley Road, Downham, London, UK	IB	IB on enclosed ground at rear of premises	0.005194	51.435608
8	0:20	5 Bacon Grove, Bermondsey, SE1, London, UK	IB	3x2 Wood fencing damage	-0.076848	51.494618
9	0:21	54 Laleham Road Catford, SE6, London, UK	IB	Middle room damaged	-0.013014	51.446074
10	0:26	5 Chalsey Road, Brokerley, SE6, London, UK	EB	Private house damaged	-0.031106	51.459858
11	0:26	84 Tyrwhitt Road, Brockley, SE4, London, UK	IB	2x1 roof damage	-0.024836	51.46385
12	0:27	20 Jutland Road, Catford SE6, London, UK	EB	Five private houses severely damaged	-0.014813	51.444632
13	0:27	Jutland Road Catford SE6, London, UK	EB	17 private houses damaged 	-0.014497	51.44549
14	0:27	86 Torridon Road, Catford SE6, London, UK	IB	2x1 roof damage	-0.001892	51.439758
15	0:30	91 Ardgowan Road, Catford SE6, London, UK	Shrapnel	2x1 roof damage	-0.000909	51.443076
16	0:30	96 Tressillain Road, Brockley SE4, London, UK	EB	2 private houses damaged and 14 privates houses damaged	-0.028365	51.462871
17	0:32	Tustin Street, Camberwell, SE16 , London, UK	IB	2x1 roadway damage	-0.269797	51.505963
18	0:32	503 Old Kent Road, SE1, London, UK	High Explosive Bomb	back room on 1st floor and contents slightly damaged. 40x20, contents damage	-0.068546	51.484836
19	0:32	Avondale Square SE1, London, UK	EB	back room on 1st floor and contents slightly damaged. 40x20, contents damage	-0.068679	51.487583
21	0:34	108 Fordel  Road, Catford, SE6, London, UK	IB	4x3 wodden fence	-0.003765	51.443473
22	0:34	138 Engleheart Road, Catford,SE6, London, UK	EB	All private houses damaged	-0.011986	51.443434
23	0:34	Adelaide Avnue, Brockley SE4, London, UK	EB	St. Cyprian's Church, severley damaged by explosive	-0.027546	51.458491
25	0:34	Ivy Lane, Brockley, SE4, London, UK	EB	Slightly damaged houses.	-0.030228	51.458555
28	0:40	127 Minard Road, Catford, SE6, London, UK	IB	Front room on 1st floor severely damaged	0.000391	51.44026
29	0:40	124 Southwark Park Road, SE16, London, UK	IB	back room on 1st floor and contents slightly damaged.	-0.068247	51.492478
30	0:44	613 Old Kent Road Se15, London, UK	IB	Theatre 4 seats slightly damaged 4x2 roof	-0.064678	51.483254
31	0:45	709 Old Kent Road SE1, London, UK	IB	30x20 one floor building.	-0.067421	51.484476
33	0:47	Sportsbank Street, Catford, SE6., London, UK	EB	Three private houses damaged and three severely damaged	-0.010394	51.443845
34	0:50	101 Storks Road, Bermondsey, SE16, London, UK	EB	4 private houses severely damaged	-0.064278	51.495205
35	1:10	91 Ardgowan Road, Catford SE6, London, UK	IB	landing on 1st floor damaged	-0.00093	51.443063
36	1:14	Chadwick road, Peckham, SE15, London, UK	EB & IB	Minor fire damage in all these thoroughfares	-0.073709	51.467969
37	1:14	9 Love Walk, Camberwell, SE5, London, UK	-	Minor fire damage in all these thoroughfares	-0.088615	51.471405
38	1:14	27 Claude Road, Peckham SE15, London, UK	-	Minor fire damage in all these thoroughfares	-0.064215	51.46738
39	1:14	33 Claude Road, Peckham, SE15, London, UK	-	Minor fire damage in all these thoroughfares	-0.064258	51.467407
40	1:14	190 Rye Lane, Peckham, SE15, London, UK	-	Minor fire damage in all these thoroughfares	-0.066517	51.467215
41	1:14	290 Southampton Way, Peckham, SE15, London, UK	-	Minor fire damage in all these thoroughfares	-0.078	51.475307
42	1:14	77 Rye Lane, Peckham, SE15, London, UK	-	Minor fire damage in all these thoroughfares	-0.069591	51.471228
43	1:14	75 Rye Lane, Peckham, SE15, London, UK	-	Minor fire damage in all these thoroughfares	-0.069505	51.471161
44	1:14	66 East Surrey Grove, Peckham SE15, London, UK	-	Minor fire damage in all these thoroughfares	-0.075535	51.477071
45	1:14	91 Coleman Road, Camberwell, SE5, London, UK	-	Minor fire damage in all these thoroughfares	-0.082987	51.478959
46	1:52	58 Brownhill Road, Catford, London, UK	-	IB (unexploded) on enclosed ground at rear of premises	-0.01498	51.445412
47	2:00	7 Nunhead Green, Camberwell, SE15, London, UK	EB	house of 5 rooms and content severely damaged	-0.059211	51.464951
48	2:16	727, Old Kent Road, Camberwell, SE15, London, UK	IB	shop (bakery) and house of 6 rooms back room, ceiling and roof damaged.	-0.062115	51.482064
49	2:16	52 Brownhill Road , London, UK	-	Falling Shrapnel	-0.016237	51.446594
50	2:20	84 Tressillain Road, Brockley SE4, London, UK	-	Falling Shrapnel	-0.03015	51.461411
51	2:23	83 Grange Road, Bermondsey, SE1, London, UK	IB	Grocer: front room 1st floor and contents slightly damaged. 4x2 roof damaged	-0.073971	51.493415
52	2:25	52 Southwark Park Road, SE16, London, UK	IB	Furniture dealer 30x20 building and contents damaged	-0.071042	51.492603
53	2:49	Prince Edward Road, E9, London, UK	EB	Roadway and 3 private houses damaged	-0.026022	51.544599
54	3:15	12, Jewell Street, Mile End. E1, London, UK	IB	6 x 4ft of roof damage.	-0.021121	51.588517
55	3:45	12 Harford St, Stepney E1, London, UK	IB	a building of 3 floors about 80 x 50ft and contents severely damaged	-0.039128	51.521159
56	5:15	Hazelbank Road, Catford SE6, London, UK	-	2x2 roadway damage	-0.000542	51.43679
57	5:15	Plough Way, SE16, London, UK	IB	Timber importers, 200x150 buildings, canteen, workshops etc, dmaged,	-0.040136	51.4929
58	5:20	Plough Way, SE16, London, UK	EB	Buildings damaged	-0.040135	51.4929
59	5:57	28 Ringstead Road, Catford, SE6, London, UK	-	2x2 roadway damage	-0.016817	51.446538
60	7:49	786 Old Kent Road, Camberwell, SE15, London, UK	IB	shop (tobacconist) and house of 6 rooms back room, ceiling and roof damaged.	-0.057958	51.480001
61	8:00	7, Devonshire Grove, SE15, London, UK	IB	maritime engineers building of two floors 80x60 severely damaged.	-0.059078	51.481309
62	8:00	Bromley Road, Catford, SE6, London, UK	IB	IB on enclosed ground 	-0.024069	51.4444517
63	8:02	42 Brown Hill Road, Catford, SE6, London, UK	-	2x2 roadway damage	-0.016369	51.44569
64	10:04	39 Loampit Vale, Lewisham SE13, London, UK	-	unexploded bomb on enclosed ground at rear of premises	-0.013788	51.464529
65	10:04	19 Vivian Roan, Bethnal Green E2, London, UK	IB	4x3 ft of wooden fencing damaged in yard	-0.038859	51.531868
66	10:42	Milton Court Road, New Cross, Se14, London, UK	IB	IB burned out in street	-0.036553	51.480765
67	12:00	39 Gilmore Road, Lewisham SE13, London, UK	-	unexplodedbomb on enclosed ground at rear of premises	-0.007153	51.460629
70	14:55	Royal Arsenal, Woolwich, SE18, London, UK	EB & IB	(Owned by H.M War Department) E.50 A building of 2 floors about 300x200 used as workrooms,, machine rooms office and store damaged by explosion	0.071383	51.494268
71	14:55	Royal Arsenal, Woolwich, SE18, London, UK	EB & IB	E.51 Two floor building 200x80, where insturments were stored severely damaged	0.072384	51.494268
72	14:55	Royal Arsenal, Woolwich, SE18, London, UK	EB & IB	E.2, 3, 6 and 7, A over a two acre factory space was severely damaged, demolished	0.073385	51.494268
73	14:55	Royal Arsenal, Woolwich, SE18, London, UK	EB & IB	E.40 a two floor storage building 120x80 severely damaged	0.074386	51.4949268
74	14:55	Royal Arsenal, Woolwich, SE18, London, UK	EB & IB	D.94, 95 and 96 A range of buildings of one and two floors used as turney, forges and store, severely damaged.	0.075387	51.494268
75	14:55	Royal Arsenal, Woolwich, SE18, London, UK	EB & IB	E.135 and 136, 400x400 buildings used as laboratories and store severely damaged	0.076388	51.494268
76	14:55	Royal Arsenal, Woolwich, SE18, London, UK	EB & IB	E.151 to 164A, 14 buildings each about 450x60 used as stores, large amount of stock on open ground covering about a quarter square mile, severely damaged	0.077389	51.494268
77	14:55	Royal Arsenal, Woolwich, SE18, London, UK	EB & IB	24 buiidings all slightly damaged	0.07839	51.494268
78	14:55	Royal Arsenal, Woolwich, SE18, London, UK	EB & IB	E.2, a range of buildings damaged covering 250x100. Area used as explosive works and stores, severely damaged.	0.079391	51.494268
79	14:55	Royal Arsenal, Woolwich, SE18, London, UK	EB & IB	A.75 A building of 4 floors and basement 250 x200 used as offices and stores amaged	0.080392	51.494268
80	14:55	Royal Arsenal, Woolwich, SE18, London, UK	EB & IB	E.31a  two floor 150x60 storage building damaged	0.081393	51.494268
81	14:55	Royal Arsenal, Woolwich, SE18, London, UK	EB & IB	Total casualties, 49 males killed, 67 males injured.	0.071394	51.494268
83	16:20	Chiesmans Depository, Lewisham High Street, SE13, London, UK	IB	universal providers: 100x30 three floor building severely damaged	-0.279528	51.481175
84	16:40	Newby Place, Poplar E14, London, UK	IB	Poplar Public Hall. Building of 2 floors 80x60 . 5/6 Severely damaged, most of roof off.	-0.012179	51.510176
85	16:57	Old Tram Yard, Lakedale Road, Plumstead, SE18, London, UK	EB	120x100 of garage, stables, an stores and contents, including two cars damaged. Two horses killed. Range of buildings and one floor 350x70  contents and stored damaged.	0.090685	51.487502
86	16:57	Old Tram Yard, Lakedale Road, Plumstead, Se18, London, UK	EB	A surface air raid shelter of 40x20 damaged	0.091685	51.487502
87	16:57	Lakedale Road and plumstead High Street SE18, London, UK	EB	Two people killed, several injured. Buildingd damaged.	0.091042	51.485332
88	17:03	70 Croft Street Deptford, SE8, London, UK	IB	back rooms 1st floor damaged	-0.042278	51.490326
90	17:05	61 Basildon Road Abbey Wood, SE2, London, UK	EB	2 private houses damaged	0.107166	51.486391
91	17:05	35 Basildon Road, Abbey Wood, SE2, London, UK	EB	41 private houses damaged.	0.107098	51.485911
92	17:05	Basildon Road, Abbey Wood, SE2, London, UK	EB	South Met Gas Company, 18" gas main, 20 ft of electric cables, 30x20 roadway damage.	0.107097	51.485911
93	17:07	Cordelia Street, Poplar E14, London, UK	IB	Number of IB burned out on road	-0.017591	51.513723
94	17:07	13 Cordelia Street, Poplar, E14, London, UK	IB	House of 6 rooms and contents severely damaged	-0.019065	51.513685
95	17:12	Poplar High Street, Poplar, E14, London, UK	EB	St. Mathias Church. 30x20 paveing damaged. 40 feet of brink and some iron railings damaged	-0.014156	51.508879
97	17:15	Colin Street, Bromley-By-Bow E3, London, UK	IB	12 private houses of about 6 rooms and contents severely damaged	-0.013357	51.527039
98	17:15	Empson St, Bromley-By-Bow E3, London, UK	IB	Berger Hall Central Church and Medical Mission back building of 1 and 2 floors about 70 x 50ft (used as Mission Hall) and contents severely damaged. Collapsed and fallen down	-0.013147	51.522167
99	17:15	Marner St School, Marner Street E3, London, UK	IB	A building of 3 floors about 150 x 80 feet about 2/3 of contents severely damaged. Most part of roof off. doors and window glass damaged by breakage	-0.012566	51.522853
100	17:15	St. Leonards Wharf, Bromley E3, London, UK	IB	 Unoccupied Sun Flour Mills Co. LTD. About 30 x 20 ft of deck planking damaged. Building of 3 floors about 80 x 60 ft( used as grain store) about 3/4 severely damaged. Most part of roof off.	-0.008506	51.517255
101	17:15	242 Brunswick Rd, Poplar, E14, London, UK	IB	Wine and Spirit Merchants. Building of 3 floors about 80x 40ft used as bottling stores. 4/5 of 3rd floor and contents severely damaged. Most part of roof off.	-0.007467	51.51168
102	17:15	242, Brunswick Rd, Poplar, E14, London, UK	IB	One half of 2nd floor slightly damaged by water, window glass damaged by breakage.	-0.007567	51.51168
103	17:15	240 Brunswick Rd, Poplar, E14, London, UK	IB	Wine Growers- Building of 3 floors about 300x 60ft ( used as wine stores) about 2/3 of top floor and contents severely damaged. Most part of roof off. Contents under slightly by water.	-0.007667	51.51168
104	17:15	240 Brunswick Rd, Poplar, E14, London, UK	IB	A building of 4 floors about 100 x 60 ft, fourth floor severely damaged. Most part of roof off.	-0.007677	51.51168
105	17:15	Empson St Bromley E3, London, UK	IB	About 200 tons of electric power cable and a quantity of electric apparatus damaged.	-0.013169	51.522187
